Qualified Pre-Rinse Spray Valves			Updated 	 5/17/2017
Qualifying models must be listed in the California Energy Commission database. Pre-rinse spray valves must 				
"have a tested flow rate of 1.15 GPM or less, utilizing ASTM F23-24."				
NOTE: Program criteria are subject to change.				
"Check your utility rebate application for terms and conditions, and effective program dates."				
Company Name	Model Number	"Flow Rate
(GPM)"	Rebate	"PG&E
Measure
Code"
Fisher	34150	1.15	$35	FS001
Fisher	34169	1.15	$35	FS001
Fisher	34177	1.15	$35	FS001
Fisher	34185	1.15	$35	FS001
Fisher	34193	1.15	$35	FS001
Fisher	34207	1.15	$35	FS001
Fisher	34215	1.15	$35	FS001
Fisher	34223	1.15	$35	FS001
Fisher	34231	1.15	$35	FS001
Fisher	34258	1.15	$35	FS001
Fisher	34266	1.15	$35	FS001
Fisher	34274	1.15	$35	FS001
Fisher	34282	1.15	$35	FS001
Fisher	34290	1.15	$35	FS001
Fisher	34304	1.15	$35	FS001
Fisher	34312	1.15	$35	FS001
Fisher	34320	1.15	$35	FS001
Fisher	34339	1.15	$35	FS001
Fisher	34347	1.15	$35	FS001
Fisher	34355	1.15	$35	FS001
Fisher	34363	1.15	$35	FS001
Fisher	34371	1.15	$35	FS001
Fisher	34398	1.15	$35	FS001
Fisher	34401	1.15	$35	FS001
Fisher	34428	1.15	$35	FS001
Fisher	34436	1.15	$35	FS001
Fisher	34444	1.15	$35	FS001
Fisher	34452	1.15	$35	FS001
Fisher	34460	1.15	$35	FS001
Fisher	34479	1.15	$35	FS001
Fisher	34487	1.15	$35	FS001
Fisher	34495	1.15	$35	FS001
Fisher	34525	1.15	$35	FS001
Fisher	34576	1.15	$35	FS001
Fisher	34584	1.15	$35	FS001
Fisher	34592	1.15	$35	FS001
Fisher	34606	1.15	$35	FS001
Fisher	34614	1.15	$35	FS001
Fisher	35564	1.12	$35	FS001
Fisher	38660	1.15	$35	FS001
Fisher	40525	1.15	$35	FS001
Fisher	41777	1.15	$35	FS001
Fisher	48887	1.15	$35	FS001
Fisher	48895	1.15	$35	FS001
Fisher	48909	1.15	$35	FS001
Fisher	48917	1.15	$35	FS001
Fisher	48925	1.15	$35	FS001
Fisher	48933	1.15	$35	FS001
Fisher	50199	1.15	$35	FS001
Fisher	50210	1.15	$35	FS001
Fisher	50377	1.15	$35	FS001
Fisher	50768	1.15	$35	FS001
Fisher	52116	1.15	$35	FS001
Fisher	52922	1.15	$35	FS001
Fisher	52930	1.15	$35	FS001
Fisher	52949	1.15	$35	FS001
Fisher	52957	1.15	$35	FS001
Fisher	52965	1.15	$35	FS001
Fisher	52973	1.15	$35	FS001
Fisher	52981	1.15	$35	FS001
Fisher	53007	1.15	$35	FS001
Fisher	53015	1.15	$35	FS001
Fisher	53023	1.15	$35	FS001
Fisher	53031	1.15	$35	FS001
Fisher	53058	1.15	$35	FS001
Fisher	53074	1.15	$35	FS001
Fisher	53430	1.15	$35	FS001
Fisher	53449	1.15	$35	FS001
Fisher	53457	1.15	$35	FS001
Fisher	53465	1.15	$35	FS001
Fisher	53473	1.15	$35	FS001
Fisher	53503	1.15	$35	FS001
Fisher	53511	1.15	$35	FS001
Fisher	53554	1.15	$35	FS001
Fisher	53899	1.15	$35	FS001
Fisher	53902	1.15	$35	FS001
Fisher	53910	1.15	$35	FS001
Fisher	53929	1.15	$35	FS001
Fisher	53961	1.15	$35	FS001
Fisher	53988	1.15	$35	FS001
Fisher	53996	1.15	$35	FS001
Fisher	54003	1.15	$35	FS001
Fisher	54011	1.15	$35	FS001
Fisher	54038	1.15	$35	FS001
Fisher	54046	1.15	$35	FS001
Fisher	54356	1.15	$35	FS001
Fisher	54631	1.15	$35	FS001
Fisher	54755	1.15	$35	FS001
Fisher	55409	1.15	$35	FS001
Fisher	55522	1.15	$35	FS001
Fisher	63835	1.15	$35	FS001
Fisher	64548	1.15	$35	FS001
Fisher	64793	1.15	$35	FS001
Fisher	67989	1.15	$35	FS001
Fisher	67997	1.15	$35	FS001
Fisher	68004	1.15	$35	FS001
Fisher	68039	1.15	$35	FS001
Fisher	68047	1.15	$35	FS001
Fisher	68063	1.15	$35	FS001
Fisher	68071	1.15	$35	FS001
Fisher	68098	1.15	$35	FS001
Fisher	68101	1.15	$35	FS001
Fisher	68128	1.15	$35	FS001
Fisher	68136	1.15	$35	FS001
Fisher	68144	1.15	$35	FS001
Fisher	68152	1.15	$35	FS001
Fisher	68187	1.15	$35	FS001
Fisher	68195	1.15	$35	FS001
Fisher	68209	1.15	$35	FS001
Fisher	68217	1.15	$35	FS001
Fisher	68225	1.15	$35	FS001
Fisher	68233	1.15	$35	FS001
Fisher	68241	1.15	$35	FS001
Fisher	68268	1.15	$35	FS001
Fisher	68276	1.15	$35	FS001
Fisher	68284	1.15	$35	FS001
Fisher	68314	1.15	$35	FS001
Fisher	71307	1.15	$35	FS001
Fisher	71463	0.70	$35	FS001
Fisher	71501	0.70	$35	FS001
Fisher	71536	0.70	$35	FS001
Fisher	71544	0.70	$35	FS001
Fisher	71609	1.15	$35	FS001
Fisher	71617	1.15	$35	FS001
Fisher	71870	0.70	$35	FS001
Fisher	71986	0.70	$35	FS001
Fisher	72052	1.15	$35	FS001
Fisher	72060	1.15	$35	FS001
Fisher	72125	0.70	$35	FS001
Fisher	72206	0.70	$35	FS001
Fisher	74012	1.15	$35	FS001
Fisher	74039	1.15	$35	FS001
Fisher	80012	1.15	$35	FS001
Fisher	80160	1.15	$35	FS001
Fisher	80764	1.15	$35	FS001
Fisher	80896	1.15	$35	FS001
Fisher	80918	1.15	$35	FS001
Fisher	81582	1.15	$35	FS001
Fisher	81868	1.15	$35	FS001
Fisher	82538	1.15	$35	FS001
Fisher	82554	1.15	$35	FS001
Fisher	82643	1.15	$35	FS001
Fisher	82678	1.15	$35	FS001
Fisher	83119	1.15	$35	FS001
Fisher	83143	1.15	$35	FS001
Fisher	83917	1.15	$35	FS001
Fisher	83941	1.15	$35	FS001
Fisher	84158	1.15	$35	FS001
Fisher	84328	1.15	$35	FS001
Fisher	84670	1.15	$35	FS001
Fisher	84840	1.15	$35	FS001
Fisher	85227	1.15	$35	FS001
Fisher	85588	1.15	$35	FS001
Fisher	87998	1.15	$35	FS001
Fisher	89389	1.15	$35	FS001
Fisher	89508	1.15	$35	FS001
Fisher	89516	1.15	$35	FS001
Fisher	89745	1.15	$35	FS001
Fisher	89761	1.15	$35	FS001
Fisher	90042	1.15	$35	FS001
Fisher	9045	1.15	$35	FS001
Fisher	90581	1.15	$35	FS001
Fisher	90743	1.15	$35	FS001
Fisher	91103	1.15	$35	FS001
Fisher	91138	1.15	$35	FS001
Fisher	93211	1.15	$35	FS001
Fisher	93297	1.15	$35	FS001
Fisher	94528	1.15	$35	FS001
Fisher	94757	1.15	$35	FS001
Fisher	95478	1.15	$35	FS001
Fisher	96768	1.15	$35	FS001
Fisher	96776	1.15	$35	FS001
Fisher	96822	1.15	$35	FS001
Fisher	97551	1.15	$35	FS001
Fisher	97578	1.15	$35	FS001
Fisher	97616	1.15	$35	FS001
Fisher	99244	1.15	$35	FS001
Fisher	99384	1.15	$35	FS001
Fisher	99449	1.15	$35	FS001
Fisher	99643	1.15	$35	FS001
Fisher	99775	1.15	$35	FS001
Fisher	99899	1.15	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 - FAN	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 - SOLID	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 - TRI TIP	0.92	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 FAN SPRAY	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 TRI FORCE - FAN	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 TRI FORCE - SOLID	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 TRI FORCE - TRI TIP	0.92	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 W/O HANDLE - FAN	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 W/O HANDLE - SOLID	0.99	$35	FS001
"Strahman Valves, Inc."	KWIK CLEAN 3 W/O HANDLE - TRI TIP	0.92	$35	FS001
T & S	B-0100-08C	0.65	$35	FS001
