Qualified Glass Door Refrigerators					Updated 	 5/17/2017
Qualifying models must meet ENERGY STAR® Version 4.0 specification and must be listed in the California Energy Commission database.						
Products on this list qualify for purchases from the date they are added until the date they are removed.						
"NOTE: Program criteria are subject to change. Check your utility rebate application for terms and conditions, and effective program dates."						
Company	Model Number	Style Type	"Total
Volume
(cu. ft.)"	"Daily
Energy Use
(kWh)"	"Rebate
(per unit)"	"PG&E
Measure
Code"
True	TBB-24-48G-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TBB-24-48G-S-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TBB-24-60G-HC-LD	Undercounter	17.61	1.66	$60	F172
True	TBB-24-60G-S-HC-LD	Undercounter	17.61	1.66	$60	F172
True	TBB-24GAL-48G-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TBB-24GAL-48G-S-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TBB-24GAL-60G-HC-LD	Undercounter	17.61	1.66	$60	F172
True	TBB-24GAL-60G-S-HC-LD	Undercounter	17.61	1.66	$60	F172
True	TDB-24-48-1-G-1-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TDB-24-48G-HC-LD	Undercounter	13.21	1.47	$40	F171
True	TUC-24G-HC~FGD01	Undercounter	5.42	0.85	$40	F171
Turbo Air	JUR-48-G-N	Reach-in	10.66	1.44	$40	F171
Turbo Air	JUR-60-G-N	Reach-in	14.58	1.78	$40	F171
Turbo Air	JUR-72-G-N	Reach-in	18.74	1.97	$60	F172
Turbo Air	MSR-72G-3	Reach-in	67.02	5.43	$100	F174
Victory	RA-3D-S7-GD	Reach-in	70.10	6.11	$100	F174
Victory	RS-3D-S7-GD	Reach-in	70.10	6.11	$100	F174
Victory	RSA-3D-S7-GD	Reach-in	70.10	6.11	$100	F174
						
